id,tabla_afectada,accion,fecha,usuario,detalles
1,tipo producto,INSERT,2023-05-11 06:11:39.110,sa,<row><id_cli>1</id_cli><dni_cli>73108923</dni_cli><nom_cli>Fernando</nom_cli><apat_cli>Mautino</apat_cli><amat_cli>Huerta</amat_cli><tel_cli>920715150</tel_cli><cor_cli>fmautinoh20@gmail.com</cor_cli><dir_cli>psj.las margaritas133</dir_cli></row>
2,clientes,INSERT,2023-05-11 06:49:20.090,conx,<row><id_cli>2</id_cli><dni_cli>23526958</dni_cli><ruc_cli>          &#x20;</ruc_cli><nom_cli>willy Kopechek</nom_cli><apat_cli>Paucar</apat_cli><amat_cli>Jara</amat_cli><tel_cli>948163434</tel_cli><cor_cli>wjarap@unasam.edu.pe</cor_cli><dir_cli>Villon Alto s/n</dir_cli></row>
3,clientes,UPDATE,2023-05-11 06:51:37.080,conx,<row><id_cli>2</id_cli><dni_cli>71909224</dni_cli><ruc_cli>          &#x20;</ruc_cli><nom_cli>willy Kopechek</nom_cli><apat_cli>Paucar</apat_cli><amat_cli>Jara</amat_cli><tel_cli>948163434</tel_cli><cor_cli>wjarap@unasam.edu.pe</cor_cli><dir_cli>Villon Alto s/n</dir_cli></row><row><id_cli>2</id_cli><dni_cli>23526958</dni_cli><ruc_cli>          &#x20;</ruc_cli><nom_cli>willy Kopechek</nom_cli><apat_cli>Paucar</apat_cli><amat_cli>Jara</amat_cli><tel_cli>948163434</tel_cli><cor_cli>wjarap@unasam.edu.pe</cor_cli><dir_cli>Villon Alto s/n</dir_cli></row>
4,clientes,UPDATE,2023-05-11 06:54:43.807,conx,<row><id_cli>1</id_cli><dni_cli>73108923</dni_cli><ruc_cli>10731089231</ruc_cli><nom_cli>Fernando</nom_cli><apat_cli>Mautino</apat_cli><amat_cli>Huerta</amat_cli><tel_cli>920715150</tel_cli><cor_cli>fmautinoh20@gmail.com</cor_cli><dir_cli>psj. Las Margaritas 133</dir_cli></row><row><id_cli>1</id_cli><dni_cli>73108923</dni_cli><nom_cli>Fernando</nom_cli><apat_cli>Mautino</apat_cli><amat_cli>Huerta</amat_cli><tel_cli>920715150</tel_cli><cor_cli>fmautinoh20@gmail.com</cor_cli><dir_cli>psj.las margaritas133</dir_cli></row>
5,tipo producto,INSERT,2023-05-11 16:23:48.463,sa,<row><id_tip_pro>1</id_tip_pro><tipo_pro>Congelado</tipo_pro></row>
6,tipo producto,INSERT,2023-05-11 16:24:04.050,sa,<row><id_tip_pro>2</id_tip_pro><tipo_pro>No Congelado</tipo_pro></row>
7,producto,INSERT,2023-05-11 16:25:54.747,conx,<row><id_prod>1</id_prod><nom_prod>Torta Helada</nom_prod><id_tip_pro>1</id_tip_pro><precio_prod>25.0</precio_prod><dur_prod>7</dur_prod></row>
8,producto,DELETE,2023-05-11 16:50:47.860,conx,<row><id_prod>1</id_prod><nom_prod>Torta Helada</nom_prod><id_tip_pro>1</id_tip_pro><precio_prod>25.0</precio_prod><dur_prod>7</dur_prod></row>
9,Producto,INSERT,2023-05-11 17:13:29.040,conx,<row><id_prod>2</id_prod><nom_prod>Torta Helada</nom_prod><id_tip_pro>1</id_tip_pro><precio_prod>30.0</precio_prod><dur_prod>8</dur_prod></row>
10,presentacion,INSERT,2023-05-11 19:42:24.513,sa,<row><id_pres>1</id_pres><tip_pres>Completo</tip_pres></row>
11,presentacion,INSERT,2023-05-11 19:42:38.690,sa,<row><id_pres>2</id_pres><tip_pres>Tajadas</tip_pres></row>
12,inventario,INSERT,2023-05-11 19:47:02.757,conx,<row><id_inv>3</id_inv><id_prod>2</id_prod><fech_produc>0001-01-01</fech_produc><stok_pro>3</stok_pro><id_present>1</id_present><estado_inv>1</estado_inv></row>
13,inventario,INSERT,2023-05-11 20:48:01.260,conx,<row><id_inv>4</id_inv><id_prod>2</id_prod><fech_produc>2023-05-11</fech_produc><stok_pro>2</stok_pro><id_present>1</id_present><estado_inv>1</estado_inv></row>
14,inventario,INSERT,2023-05-11 20:55:11.937,conx,<row><id_inv>5</id_inv><id_prod>2</id_prod><fech_produc>2023-05-11</fech_produc><stok_pro>2</stok_pro><id_present>1</id_present><estado_inv>1</estado_inv></row>
